date,kWh
2016-01-31,3081.863
2016-02-29,9544.109
2016-03-31,18105.476
2016-04-30,21241.109
2016-05-31,22154.348
2016-06-30,25612.561
2016-07-31,22867.97
2016-08-31,21054.531
2016-09-30,7248.866
2016-10-31,6908.17
2016-11-30,4727.843
2016-12-31,703.615
2017-01-31,2521.092
2017-02-28,4985.362
2017-03-31,10443.614
2017-04-30,16566.797
2017-05-31,24998.669
2017-06-30,26134.152
2017-07-31,25086.173
2017-08-31,23800.89
2017-09-30,17388.89
2017-10-31,12037.65
2017-11-30,2230.973
2017-12-31,1211.176
2018-01-31,1293.847
2018-02-28,244.41
2018-03-31,2541.881
2018-04-30,15237.193
2018-05-31,25082.405
2018-06-30,24658.628
2018-07-31,26502.242
2018-08-31,20675.759000000002
2018-09-30,12176.393
2018-10-31,9573.858
2018-11-30,2981.2980000000002
2018-12-31,1502.975
2019-01-31,3298.832
2019-02-28,239.296
2019-03-31,12297.208
2019-04-30,19458.734
2019-05-31,19897.715
2019-06-30,24017.246
2019-07-31,23699.913
2019-08-31,21711.676
2019-09-30,14565.554
2019-10-31,10807.005
2019-11-30,2475.061
2019-12-31,426.12
2020-01-31,1115.0049999999999
2020-02-29,5886.657
2020-03-31,11438.789999999999
2020-04-30,17317.54
2020-05-31,19942.812
2020-06-30,21422.478
2020-07-31,25495.076
2020-08-31,25900.142
2020-09-30,17154.487
2020-10-31,7728.751
2020-11-30,3749.765
2020-12-31,1250.84
